Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,2020-12-21 19:42:52,Cheyenne Newman,['Hair Gel'],6,12.77,Debit Card,New York,Convenience Store,True,Student,Winter,
1000000002,2021-10-02 06:28:44,Michael Webb,"['Jam', 'Soap', 'Ketchup']",7,47.02,Debit Card,Miami,Convenience Store,False,Young Adult,Winter,
1000000013,2021-05-21 18:47:34,Maria Munoz,"['Ironing Board', 'Laundry Detergent', 'Deodorant', 'Cereal']",2,47.49,Mobile Payment,Seattle,Convenience Store,False,Retiree,Summer,Discount on Selected Items
1000000018,2022-12-10 09:44:52,Kayla Sanchez,"['Syrup', 'Yogurt', 'Eggs']",5,78.64,Credit Card,Boston,Convenience Store,True,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000023,2022-11-27 11:43:06,Jonathan Campbell,"['Insect Repellent', 'Soda', 'Laundry Detergent']",4,93.1,Mobile Payment,Seattle,Convenience Store,True,Retiree,Winter,BOGO (Buy One Get One)
1000000029,2022-10-10 03:16:45,David Jordan,['Pancake Mix'],3,52.58,Cash,Seattle,Convenience Store,False,Senior Citizen,Spring,
1000000044,2022-02-24 13:18:00,Lisa Harper,"['Broom', 'Shrimp', 'Toothpaste', 'Shower Gel', 'Dishware']",9,97.61,Credit Card,Boston,Convenience Store,True,Student,Fall,BOGO (Buy One Get One)
1000000045,2022-12-02 21:05:50,Pamela Duffy,"['Plant Fertilizer', 'Power Strips', 'Beef', 'Mayonnaise']",9,88.65,Cash,San Francisco,Convenience Store,False,Professional,Fall,
1000000048,2021-03-10 04:35:55,Anthony Ray,"['Onions', 'Garden Hose', 'Vacuum Cleaner', 'Cereal Bars']",4,10.26,Cash,Miami,Convenience Store,True,Student,Winter,
1000000049,2023-06-08 14:17:25,Brianna Johnson,"['Onions', 'Canned Soup']",2,47.37,Cash,Boston,Convenience Store,True,Retiree,Fall,BOGO (Buy One Get One)
1000000050,2023-08-16 19:31:50,Justin Smith,"['Feminine Hygiene Products', 'Hair Gel']",10,22.07,Cash,New York,Convenience Store,False,Teenager,Fall,BOGO (Buy One Get One)
1000000052,2023-10-30 05:42:35,Hannah Foley,"['Baby Wipes', 'Cereal', 'Shower Gel', 'Tuna', 'Soda']",8,79.34,Cash,Miami,Convenience Store,True,Middle-Aged,Fall,Discount on Selected Items
1000000055,2021-08-24 11:23:46,Cory Jensen,"['Orange', 'Shower Gel', 'Insect Repellent', 'Hair Gel']",9,50.25,Debit Card,Los Angeles,Convenience Store,False,Retiree,Summer,Discount on Selected Items
1000000059,2021-02-24 05:02:57,Heidi May,"['Razors', 'Water']",9,64.91,Mobile Payment,Dallas,Convenience Store,False,Middle-Aged,Summer,Discount on Selected Items
1000000060,2023-04-07 00:13:11,Anthony Richard,"['Orange', 'Diapers', 'Vinegar']",5,7.65,Mobile Payment,Miami,Convenience Store,False,Middle-Aged,Summer,BOGO (Buy One Get One)
1000000064,2020-06-28 03:54:38,Zachary James,"['Onions', 'Sponges']",8,65.94,Cash,Dallas,Convenience Store,False,Young Adult,Summer,
1000000071,2022-09-30 04:40:33,James Taylor,"['Deodorant', 'Tuna', 'Bread']",1,8.4,Credit Card,Chicago,Convenience Store,True,Middle-Aged,Summer,Discount on Selected Items
1000000075,2021-02-17 02:15:17,Jessica Cohen,"['Trash Bags', 'Canned Soup', 'Tea']",7,42.0,Credit Card,Houston,Convenience Store,True,Homemaker,Winter,Discount on Selected Items
1000000079,2022-05-03 03:04:00,Michael Murphy,"['Dustpan', 'Potatoes', 'Razors', 'Hair Gel', 'Dishware']",10,20.75,Debit Card,New York,Convenience Store,False,Middle-Aged,Summer,
1000000088,2023-07-09 04:56:04,Jasmin Oconnell,"['Plant Fertilizer', 'Mop', 'Bread', 'Salmon', 'Spinach']",5,77.83,Mobile Payment,Dallas,Convenience Store,True,Student,Winter,BOGO (Buy One Get One)
1000000093,2020-08-03 04:41:34,Daniel Thompson,"['Hair Gel', 'Tissues', 'Iron']",2,73.79,Mobile Payment,Los Angeles,Convenience Store,False,Homemaker,Summer,Discount on Selected Items
1000000095,2022-08-11 09:14:45,Sarah Moore DDS,['Plant Fertilizer'],6,24.98,Debit Card,Los Angeles,Convenience Store,True,Middle-Aged,Fall,
1000000096,2020-03-10 16:03:07,Benjamin Johnson,"['Syrup', 'Soda', 'Shrimp', 'Soap']",5,41.13,Mobile Payment,San Francisco,Convenience Store,False,Student,Fall,
1000000103,2020-08-14 03:02:08,Aaron Pham,"['Light Bulbs', 'Chips']",6,13.32,Mobile Payment,Dallas,Convenience Store,False,Student,Winter,
1000000105,2020-04-03 00:24:42,Bonnie Henderson,"['Vacuum Cleaner', 'Diapers', 'Water', 'Ironing Board']",3,11.65,Debit Card,Houston,Convenience Store,True,Professional,Spring,Discount on Selected Items
1000000109,2021-01-28 23:18:02,John Tucker,['Cereal'],8,19.57,Mobile Payment,Atlanta,Convenience Store,True,Homemaker,Winter,
1000000110,2021-11-06 08:19:45,Maria Williams,"['Yogurt', 'Canned Soup', 'Pancake Mix', 'Butter']",9,50.07,Debit Card,Miami,Convenience Store,True,Student,Spring,
1000000120,2022-10-20 04:54:51,Daniel Cruz,"['Eggs', 'Bath Towels', 'Plant Fertilizer']",1,61.35,Mobile Payment,Boston,Convenience Store,False,Student,Summer,
1000000121,2020-10-10 00:59:02,James Thomas,"['Cereal', 'Onions', 'Tuna', 'Coffee', 'Orange']",3,70.85,Mobile Payment,Seattle,Convenience Store,True,Student,Fall,Discount on Selected Items
1000000130,2022-08-03 19:40:10,Kristi Ray,"['Canned Soup', 'Beef', 'Mustard', 'Yogurt']",8,74.71,Debit Card,Boston,Convenience Store,False,Homemaker,Winter,BOGO (Buy One Get One)
1000000134,2022-01-21 10:30:48,Mr. Paul Owens,"['Tuna', 'Milk', 'Baby Wipes', 'Onions', 'Peanut Butter']",2,14.45,Cash,Seattle,Convenience Store,False,Teenager,Spring,
1000000138,2022-04-22 22:28:25,Alyssa Zuniga,"['Diapers', 'Air Freshener', 'Rice']",8,88.18,Credit Card,Atlanta,Convenience Store,True,Professional,Spring,Discount on Selected Items
1000000157,2020-03-19 09:03:25,Bradley Wright,"['Lawn Mower', 'Paper Towels', 'Mustard', 'Apple']",4,80.34,Cash,Atlanta,Convenience Store,True,Middle-Aged,Spring,
1000000159,2020-10-11 18:27:36,Maria Perry,"['Coffee', 'Honey', 'Trash Cans', 'Toilet Paper', 'Beef']",4,92.78,Credit Card,Dallas,Convenience Store,False,Young Adult,Summer,BOGO (Buy One Get One)
1000000163,2021-07-23 22:58:57,Chase Brewer,"['Hand Sanitizer', 'BBQ Sauce', 'Toothpaste', 'Lawn Mower', 'Razors']",4,47.19,Cash,San Francisco,Convenience Store,False,Homemaker,Summer,BOGO (Buy One Get One)
1000000172,2023-10-09 16:07:54,Linda Kaufman,"['Iron', 'Chicken']",4,48.55,Credit Card,San Francisco,Convenience Store,True,Senior Citizen,Summer,
1000000174,2023-04-10 23:20:17,Daniel Miller,"['Milk', 'Garden Hose', 'Toothpaste', 'Shampoo', 'Plant Fertilizer']",10,64.69,Credit Card,Miami,Convenience Store,True,Retiree,Winter,BOGO (Buy One Get One)
1000000176,2020-04-23 09:49:18,Sara Williamson,['Plant Fertilizer'],5,35.91,Cash,San Francisco,Convenience Store,True,Middle-Aged,Winter,Discount on Selected Items
1000000178,2020-05-06 02:49:53,Victor Gomez,"['Deodorant', 'Pickles', 'Toothbrush', 'Tea']",5,51.68,Debit Card,Atlanta,Convenience Store,False,Middle-Aged,Spring,BOGO (Buy One Get One)
1000000184,2022-11-29 14:17:25,Erin Allen,"['Deodorant', 'Eggs', 'Carrots']",6,62.05,Mobile Payment,Miami,Convenience Store,False,Homemaker,Summer,BOGO (Buy One Get One)
1000000190,2021-09-10 09:43:48,Ralph Elliott,"['Orange', 'Shrimp', 'Sponges', 'Spinach']",1,6.24,Mobile Payment,San Francisco,Convenience Store,False,Professional,Summer,BOGO (Buy One Get One)
1000000191,2022-04-06 04:39:20,Samuel Hodges,"['Orange', 'Toothbrush']",4,74.03,Credit Card,Atlanta,Convenience Store,False,Student,Spring,Discount on Selected Items
1000000192,2021-05-20 18:48:32,Mary Richmond,"['Pickles', 'Insect Repellent']",9,30.79,Cash,Los Angeles,Convenience Store,False,Student,Winter,BOGO (Buy One Get One)
1000000193,2020-06-14 17:18:18,Jeffrey Allen,"['Vinegar', 'Iron', 'Pickles']",2,17.41,Mobile Payment,Atlanta,Convenience Store,True,Homemaker,Summer,
1000000205,2021-10-09 23:51:19,Jonathan Flores,"['Tea', 'Toothpaste', 'Chicken', 'Spinach']",9,86.91,Mobile Payment,San Francisco,Convenience Store,True,Professional,Summer,
1000000208,2022-03-02 21:04:02,Margaret Cook,"['Honey', 'Laundry Detergent', 'Mayonnaise']",7,54.24,Mobile Payment,Los Angeles,Convenience Store,True,Senior Citizen,Spring,
1000000221,2023-05-31 23:44:34,Andrea Mathis,"['Syrup', 'Mayonnaise']",2,24.99,Credit Card,Boston,Convenience Store,True,Teenager,Winter,BOGO (Buy One Get One)
1000000222,2021-08-07 12:47:54,Kristi Young,"['Dishware', 'Trash Cans', 'Olive Oil', 'Ketchup']",4,73.23,Debit Card,Chicago,Convenience Store,True,Young Adult,Summer,
1000000229,2020-08-23 20:46:20,Renee Johnson,['Baby Wipes'],3,12.02,Credit Card,San Francisco,Convenience Store,False,Senior Citizen,Spring,
1000000237,2020-08-04 21:27:51,Jessica Ortiz,"['Lawn Mower', 'Shrimp', 'Dishware', 'Insect Repellent']",4,38.66,Mobile Payment,Dallas,Convenience Store,True,Professional,Summer,
1000000239,2023-06-07 02:10:25,Bruce Davis,"['Jam', 'Jam', 'Mayonnaise']",4,6.67,Debit Card,Chicago,Convenience Store,True,Young Adult,Spring,Discount on Selected Items
1000000240,2021-06-09 05:40:21,Ian Porter,"['Pasta', 'Jam', 'Diapers', 'Cereal']",6,31.95,Mobile Payment,San Francisco,Convenience Store,False,Retiree,Spring,Discount on Selected Items
1000000242,2021-08-06 07:24:49,Gregory Holmes,['Milk'],2,49.73,Cash,Seattle,Convenience Store,True,Homemaker,Summer,Discount on Selected Items
1000000244,2020-11-12 17:27:13,Amanda Harding,"['Canned Soup', 'Eggs', 'Deodorant']",10,40.85,Cash,Miami,Convenience Store,False,Professional,Winter,
1000000263,2020-02-13 22:33:10,Jonathan Phillips,"['Banana', 'Ice Cream', 'Bath Towels', 'Diapers']",9,42.46,Credit Card,Chicago,Convenience Store,False,Senior Citizen,Spring,BOGO (Buy One Get One)
1000000270,2021-03-21 06:41:13,Jordan Short,"['Onions', 'Tuna', 'Lawn Mower']",5,27.84,Cash,Boston,Convenience Store,True,Young Adult,Spring,BOGO (Buy One Get One)
1000000281,2021-01-02 13:09:00,Janet Long,"['Eggs', 'Paper Towels', 'Shampoo']",3,37.64,Debit Card,Atlanta,Convenience Store,False,Retiree,Winter,
1000000298,2022-04-06 07:10:29,James Morris,"['Water', 'Dishware']",5,32.04,Mobile Payment,Seattle,Convenience Store,True,Teenager,Summer,
1000000305,2023-09-12 16:28:48,Robert Fox,"['Shrimp', 'Tea', 'Hair Gel', 'Broom', 'Toothbrush']",3,34.69,Credit Card,Dallas,Convenience Store,True,Middle-Aged,Winter,Discount on Selected Items
1000000308,2023-09-20 20:56:50,Heather Gutierrez,"['Toilet Paper', 'Air Freshener', 'Toothbrush']",3,28.56,Credit Card,Atlanta,Convenience Store,True,Middle-Aged,Summer,
1000000310,2021-08-24 12:52:44,Sean Adams,"['Hand Sanitizer', 'Mustard', 'Insect Repellent', 'Vacuum Cleaner']",7,33.79,Cash,Seattle,Convenience Store,True,Teenager,Fall,BOGO (Buy One Get One)
1000000323,2023-04-25 14:49:07,Tammy Johnson,['Razors'],1,43.18,Cash,Dallas,Convenience Store,False,Homemaker,Fall,Discount on Selected Items
