Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000012,2022-05-30 07:17:29,David Randolph,"['BBQ Sauce', 'Soda', 'Lawn Mower']",9,21.29,Credit Card,Atlanta,Department Store,True,Middle-Aged,Spring,Discount on Selected Items
1000000021,2022-03-21 03:41:10,Mary Chandler,"['Shrimp', 'Milk', 'Dish Soap']",4,16.62,Cash,Los Angeles,Department Store,False,Middle-Aged,Winter,Discount on Selected Items
1000000022,2021-08-30 04:37:17,Kimberly Baird,"['Cereal', 'Water', 'Bread', 'Laundry Detergent']",5,28.99,Credit Card,Los Angeles,Department Store,False,Senior Citizen,Spring,
1000000027,2020-09-25 22:12:00,Katrina Martin,"['Salmon', 'Dustpan']",7,86.02,Cash,Atlanta,Department Store,True,Professional,Spring,
1000000036,2020-09-06 10:41:51,Christine Wells,['Rice'],7,14.35,Mobile Payment,Miami,Department Store,True,Middle-Aged,Spring,Discount on Selected Items
1000000037,2023-09-27 22:59:35,Cathy Smith,"['Milk', 'Shower Gel']",4,12.46,Mobile Payment,Dallas,Department Store,True,Senior Citizen,Winter,
1000000054,2021-07-30 15:29:27,Amanda Jones,['Spinach'],9,39.12,Mobile Payment,Dallas,Department Store,False,Retiree,Spring,Discount on Selected Items
1000000061,2020-01-08 19:13:43,Sarah Gross,"['Bath Towels', 'Ironing Board', 'Rice']",9,11.45,Credit Card,Miami,Department Store,False,Middle-Aged,Summer,
1000000063,2022-05-31 19:12:21,Cynthia Mendoza,"['Apple', 'Shampoo', 'Tissues', 'Power Strips']",3,10.01,Debit Card,San Francisco,Department Store,False,Student,Fall,Discount on Selected Items
1000000066,2021-06-05 12:59:14,Jacqueline Mclean DVM,"['Shaving Cream', 'Pasta', 'Cleaning Spray', 'Rice', 'Onions']",10,40.02,Mobile Payment,Houston,Department Store,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000076,2021-08-16 20:23:20,Katherine Martin,"['Broom', 'Salmon']",5,11.08,Debit Card,Chicago,Department Store,True,Retiree,Fall,Discount on Selected Items
1000000085,2021-12-18 21:58:09,Jennifer Allen,"['Spinach', 'Garden Hose', 'Mustard', 'Shampoo', 'Mayonnaise']",1,72.68,Cash,Dallas,Department Store,True,Professional,Winter,Discount on Selected Items
1000000111,2020-07-08 04:30:22,Thomas Johnson,"['Dustpan', 'Hand Sanitizer']",3,45.72,Debit Card,Seattle,Department Store,False,Professional,Spring,
1000000127,2023-02-14 06:55:29,Amy Edwards,"['Cereal', 'Mustard', 'Toothbrush', 'Soap']",4,75.68,Debit Card,Miami,Department Store,True,Professional,Fall,
1000000129,2021-05-31 20:30:52,Richard Gregory,"['Bath Towels', 'Ironing Board', 'Bath Towels', 'Toothpaste', 'Cleaning Rags']",6,83.82,Mobile Payment,Los Angeles,Department Store,False,Professional,Summer,
1000000132,2023-10-15 02:55:36,Angela Smith,"['Water', 'Canned Soup']",9,87.31,Credit Card,Dallas,Department Store,True,Homemaker,Winter,Discount on Selected Items
1000000133,2020-12-17 14:58:10,Karen Carpenter DVM,"['Plant Fertilizer', 'Light Bulbs', 'Shower Gel']",3,72.64,Mobile Payment,Seattle,Department Store,True,Professional,Summer,BOGO (Buy One Get One)
1000000135,2022-03-01 09:47:04,Teresa Phillips,"['Laundry Detergent', 'Olive Oil', 'Peanut Butter', 'Dishware', 'Pickles']",8,14.78,Cash,Atlanta,Department Store,True,Retiree,Winter,
1000000142,2021-07-14 15:48:07,Kimberly Cole,"['Tissues', 'Shower Gel', 'Canned Soup', 'Light Bulbs']",4,61.2,Mobile Payment,New York,Department Store,False,Senior Citizen,Summer,
1000000150,2020-08-25 23:39:27,Michelle Smith,"['Sponges', 'Spinach', 'Vinegar']",2,11.95,Mobile Payment,Seattle,Department Store,True,Student,Fall,
1000000151,2022-10-03 02:14:34,Peter Sanchez,"['Toothpaste', 'Iron', 'Water']",1,66.85,Cash,Seattle,Department Store,True,Homemaker,Spring,BOGO (Buy One Get One)
1000000160,2021-11-21 09:20:37,Edward Jones,"['Dustpan', 'Vacuum Cleaner']",8,88.05,Cash,San Francisco,Department Store,True,Young Adult,Fall,Discount on Selected Items
1000000165,2020-07-21 09:59:56,Dalton Davis,"['Toothbrush', 'Shower Gel', 'Potatoes']",3,33.51,Debit Card,New York,Department Store,False,Professional,Spring,BOGO (Buy One Get One)
1000000169,2022-03-14 22:25:59,Crystal Henson,"['Soda', 'Bath Towels', 'Insect Repellent', 'Extension Cords', 'Butter']",4,82.31,Credit Card,Chicago,Department Store,True,Retiree,Spring,Discount on Selected Items
1000000180,2021-02-17 12:49:25,David Burke,"['Chicken', 'Toilet Paper', 'Eggs', 'Dishware', 'Onions']",10,34.48,Credit Card,Miami,Department Store,True,Student,Winter,Discount on Selected Items
1000000188,2021-04-18 23:35:37,Angel Hudson,"['Toilet Paper', 'Pasta', 'Hand Sanitizer', 'Chips', 'BBQ Sauce']",10,67.27,Credit Card,Los Angeles,Department Store,False,Retiree,Summer,
1000000195,2020-09-02 18:13:47,Tony Trevino,"['Mop', 'Pickles', 'Air Freshener', 'Hair Gel', 'Tomatoes']",1,87.37,Cash,New York,Department Store,True,Senior Citizen,Summer,
1000000219,2021-01-29 11:00:36,Linda Lopez,"['Spinach', 'Toothbrush']",1,82.55,Cash,San Francisco,Department Store,True,Middle-Aged,Winter,
1000000223,2023-05-12 07:12:37,Kerri Carey,"['Toothpaste', 'Feminine Hygiene Products', 'Bath Towels', 'Onions', 'Ironing Board']",9,19.02,Debit Card,San Francisco,Department Store,True,Teenager,Winter,Discount on Selected Items
1000000225,2022-10-01 15:35:57,Douglas Weaver,"['Apple', 'Laundry Detergent']",3,68.53,Debit Card,San Francisco,Department Store,True,Student,Spring,
1000000245,2022-11-27 13:57:28,David Chavez,"['Toothpaste', 'Dustpan']",3,7.95,Credit Card,San Francisco,Department Store,True,Young Adult,Summer,Discount on Selected Items
1000000258,2021-11-27 11:15:14,Amber Sellers,"['Insect Repellent', 'Power Strips', 'Pickles', 'Tuna']",3,48.31,Debit Card,New York,Department Store,False,Student,Fall,BOGO (Buy One Get One)
1000000260,2021-11-08 22:38:20,Robert Smith,"['Rice', 'Vinegar', 'Tissues']",5,92.22,Credit Card,Seattle,Department Store,True,Young Adult,Winter,
1000000271,2021-07-01 05:03:47,Linda Freeman,"['Deodorant', 'Spinach', 'Trash Cans', 'Toothpaste', 'Pancake Mix']",6,76.11,Mobile Payment,Seattle,Department Store,True,Retiree,Fall,BOGO (Buy One Get One)
1000000272,2023-04-16 01:59:09,Michael Jackson,"['Cheese', 'Cheese', 'Carrots', 'Tea', 'Cereal Bars']",8,61.78,Debit Card,New York,Department Store,False,Student,Summer,Discount on Selected Items
