Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000009,2023-03-26 13:28:32,Alisha Hudson,"['Ketchup', 'Razors', 'Lawn Mower']",3,88.79,Cash,Dallas,Pharmacy,False,Teenager,Summer,
1000000011,2020-01-18 08:59:50,Shari Thomas,"['Soap', 'Vacuum Cleaner', 'Shower Gel', 'Mayonnaise']",9,69.48,Debit Card,San Francisco,Pharmacy,True,Senior Citizen,Fall,
1000000015,2021-04-28 04:39:49,Jonathan Roach,['Syrup'],9,43.35,Cash,Los Angeles,Pharmacy,True,Retiree,Summer,
1000000016,2023-04-01 20:30:57,Alexander Hall,"['Tea', 'Spinach', 'Mustard', 'Cleaning Rags', 'Peanut Butter']",9,5.3,Cash,San Francisco,Pharmacy,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000020,2021-10-22 21:05:46,Nancy Mcdonald,"['Eggs', 'Razors', 'Peanut Butter', 'Toothpaste', 'Cheese']",7,98.81,Debit Card,Atlanta,Pharmacy,False,Professional,Spring,BOGO (Buy One Get One)
1000000028,2021-01-11 15:48:42,James Allen,"['Feminine Hygiene Products', 'Light Bulbs']",5,18.69,Credit Card,Seattle,Pharmacy,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000032,2021-06-24 12:18:25,Steve Jimenez,"['Potatoes', 'Olive Oil', 'Laundry Detergent', 'Banana']",6,31.03,Mobile Payment,Atlanta,Pharmacy,True,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000033,2020-12-29 19:59:10,Desiree Diaz,"['Toilet Paper', 'Sponges', 'Yogurt', 'Syrup']",3,44.04,Credit Card,Houston,Pharmacy,False,Middle-Aged,Spring,Discount on Selected Items
1000000056,2020-02-24 19:41:38,Jamie Brown,['Paper Towels'],6,77.82,Mobile Payment,Chicago,Pharmacy,True,Middle-Aged,Summer,
1000000057,2023-09-11 20:47:27,Ryan Reyes,['Trash Bags'],1,60.31,Debit Card,Atlanta,Pharmacy,True,Retiree,Spring,
1000000078,2020-06-15 15:04:08,Adrienne Mitchell,['Plant Fertilizer'],8,85.92,Credit Card,Atlanta,Pharmacy,False,Senior Citizen,Spring,
1000000082,2022-10-27 10:25:05,Craig Cook,"['Chicken', 'Toilet Paper', 'Vinegar', 'Chips']",8,93.29,Mobile Payment,Atlanta,Pharmacy,False,Young Adult,Fall,BOGO (Buy One Get One)
1000000083,2022-07-06 10:36:16,Amanda Burns MD,"['Ketchup', 'Razors', 'Plant Fertilizer']",6,70.8,Cash,Los Angeles,Pharmacy,False,Senior Citizen,Fall,Discount on Selected Items
1000000087,2020-01-08 06:42:11,Dr. Christy Velasquez,"['Hair Gel', 'Pasta', 'Dishware']",8,37.87,Mobile Payment,Houston,Pharmacy,True,Homemaker,Winter,Discount on Selected Items
1000000091,2020-01-24 22:10:26,Lauren Wilson,"['Vinegar', 'Cheese', 'Onions', 'Canned Soup']",7,92.95,Credit Card,Chicago,Pharmacy,False,Middle-Aged,Fall,
1000000097,2021-12-29 21:57:26,Erin Parker,"['Shampoo', 'Toothbrush']",1,39.32,Debit Card,Atlanta,Pharmacy,True,Retiree,Summer,Discount on Selected Items
1000000113,2022-10-05 00:48:11,Scott Rodriguez,['Bath Towels'],1,14.94,Debit Card,Chicago,Pharmacy,True,Young Adult,Winter,BOGO (Buy One Get One)
1000000114,2020-04-25 07:04:53,Timothy Payne,"['Rice', 'Mop', 'Olive Oil', 'Chips']",4,58.21,Mobile Payment,Dallas,Pharmacy,False,Young Adult,Winter,
1000000117,2021-05-14 21:27:01,Chris Jones,"['Water', 'Mayonnaise']",2,92.03,Cash,Miami,Pharmacy,True,Professional,Winter,
1000000118,2023-04-24 21:26:39,Kelly Reed,"['Iron', 'Toothpaste']",4,32.11,Mobile Payment,San Francisco,Pharmacy,True,Student,Fall,Discount on Selected Items
1000000122,2020-08-17 18:19:02,Courtney Taylor,"['Baby Wipes', 'Beef', 'Insect Repellent', 'Hair Gel', 'Garden Hose']",3,35.83,Credit Card,Boston,Pharmacy,True,Middle-Aged,Spring,Discount on Selected Items
1000000123,2023-03-05 08:52:50,Vincent Vargas,"['Mop', 'Ketchup', 'Rice', 'Mayonnaise']",1,98.06,Cash,Seattle,Pharmacy,True,Professional,Summer,BOGO (Buy One Get One)
1000000126,2022-08-13 22:25:45,John Fisher,"['Tuna', 'Hand Sanitizer']",2,94.37,Credit Card,Atlanta,Pharmacy,False,Professional,Winter,Discount on Selected Items
1000000140,2020-01-02 23:13:32,Tony Love,"['Honey', 'Mustard', 'Deodorant']",9,53.69,Cash,Los Angeles,Pharmacy,False,Teenager,Summer,Discount on Selected Items
1000000143,2022-09-21 03:27:37,Kevin Sosa,"['Tea', 'Garden Hose', 'Soap', 'Extension Cords']",5,60.6,Cash,Atlanta,Pharmacy,False,Young Adult,Summer,
1000000144,2020-03-31 18:35:34,Dr. Daniel Davidson,"['Shrimp', 'Baby Wipes']",7,73.37,Mobile Payment,Los Angeles,Pharmacy,True,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000155,2023-08-25 04:35:04,Eric Duarte,"['Mustard', 'Banana', 'Diapers', 'Air Freshener', 'Potatoes']",5,29.02,Credit Card,New York,Pharmacy,False,Senior Citizen,Spring,
1000000164,2021-11-19 01:25:49,Rodney Martin,"['Soda', 'Shampoo']",4,9.02,Cash,Seattle,Pharmacy,True,Homemaker,Summer,
1000000168,2020-08-02 15:02:35,Peter Bender,['Light Bulbs'],9,75.31,Mobile Payment,New York,Pharmacy,True,Senior Citizen,Summer,Discount on Selected Items
1000000170,2020-10-20 19:49:29,Nathan Barnett,['Cleaning Spray'],5,77.84,Credit Card,Atlanta,Pharmacy,True,Professional,Winter,
1000000175,2022-12-28 06:21:22,Tammy Moody,"['Coffee', 'Mop', 'Extension Cords', 'Coffee', 'Tuna']",4,15.59,Debit Card,Atlanta,Pharmacy,False,Teenager,Fall,
