Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000010,2023-05-10 16:20:28,Samantha Mcclure,"['Shrimp', 'Soda']",3,28.43,Cash,Seattle,Specialty Store,True,Young Adult,Spring,
1000000017,2022-12-20 12:56:05,Bryan Smith,"['Tuna', 'Bath Towels', 'Potatoes']",8,64.76,Cash,Chicago,Specialty Store,False,Teenager,Winter,Discount on Selected Items
1000000035,2023-02-04 14:19:51,Russell Hayes,"['Apple', 'Cereal Bars']",10,77.66,Debit Card,New York,Specialty Store,False,Young Adult,Spring,BOGO (Buy One Get One)
1000000040,2023-06-28 11:17:56,Joseph Williamson,"['Pasta', 'Trash Bags', 'Orange', 'Rice', 'Tea']",4,19.32,Mobile Payment,Dallas,Specialty Store,False,Teenager,Spring,BOGO (Buy One Get One)
1000000042,2021-09-27 15:39:37,Jennifer Bailey,"['Toilet Paper', 'Shower Gel', 'Deodorant']",6,78.04,Cash,Dallas,Specialty Store,False,Senior Citizen,Spring,BOGO (Buy One Get One)
1000000043,2022-09-21 14:22:50,Angela Johnson,"['Toothpaste', 'Ice Cream']",7,8.91,Credit Card,Dallas,Specialty Store,True,Homemaker,Spring,BOGO (Buy One Get One)
1000000053,2020-05-02 14:11:45,Katie Whitney,['Diapers'],2,38.38,Debit Card,Miami,Specialty Store,False,Senior Citizen,Spring,
1000000058,2022-07-13 12:32:28,Jessica Mooney,"['Onions', 'Broom', 'Iron']",9,98.39,Credit Card,Houston,Specialty Store,False,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000062,2022-09-15 11:53:57,Susan Robinson,['Carrots'],9,18.11,Debit Card,Houston,Specialty Store,False,Homemaker,Winter,BOGO (Buy One Get One)
1000000089,2021-10-22 05:23:37,Jasmine Hull,"['Feminine Hygiene Products', 'Shrimp', 'Orange']",9,70.97,Credit Card,New York,Specialty Store,True,Teenager,Spring,BOGO (Buy One Get One)
1000000101,2020-12-21 18:23:38,Luis Martin,"['Razors', 'Rice']",1,85.78,Debit Card,New York,Specialty Store,True,Middle-Aged,Spring,
1000000102,2020-02-25 13:42:15,Stephen Huffman,"['Plant Fertilizer', 'Chicken', 'Ironing Board', 'Diapers']",7,89.24,Cash,Chicago,Specialty Store,True,Middle-Aged,Winter,
1000000104,2022-04-08 02:43:55,Michelle Hughes,"['Bread', 'Cereal Bars']",2,9.37,Cash,Boston,Specialty Store,False,Young Adult,Summer,BOGO (Buy One Get One)
1000000106,2023-08-10 09:12:43,Kaitlin Watkins,"['Eggs', 'Diapers']",5,80.22,Debit Card,Dallas,Specialty Store,True,Student,Winter,
1000000119,2021-05-07 01:36:23,Stephanie Mcdaniel,['Extension Cords'],7,73.58,Debit Card,Miami,Specialty Store,True,Middle-Aged,Fall,Discount on Selected Items
1000000137,2023-03-11 22:49:49,Elizabeth Summers,['Ironing Board'],4,56.22,Debit Card,New York,Specialty Store,False,Teenager,Fall,Discount on Selected Items
1000000146,2020-06-03 06:21:13,Crystal Wright,"['Olive Oil', 'Diapers', 'Vacuum Cleaner', 'Mustard', 'Vacuum Cleaner']",9,63.93,Cash,Chicago,Specialty Store,False,Teenager,Spring,
1000000148,2020-06-29 18:16:26,Brian West,"['Chicken', 'BBQ Sauce', 'Mustard', 'Apple']",5,58.26,Credit Card,Dallas,Specialty Store,True,Student,Spring,
1000000149,2020-11-14 20:29:19,Harold Myers,"['Ironing Board', 'Chicken', 'Cleaning Rags', 'Bread']",10,11.44,Cash,New York,Specialty Store,True,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000153,2023-10-25 03:09:14,Danielle Hall,"['Carrots', 'Mayonnaise']",4,88.95,Cash,Seattle,Specialty Store,False,Young Adult,Summer,Discount on Selected Items
1000000154,2022-05-28 18:49:23,Nathan Miller,"['Dustpan', 'Air Freshener', 'Yogurt', 'Chicken']",9,58.18,Debit Card,Houston,Specialty Store,True,Senior Citizen,Summer,Discount on Selected Items
1000000158,2022-09-03 20:33:11,Miranda Gilmore,"['Tea', 'Bread', 'Paper Towels', 'Soap']",5,79.32,Debit Card,New York,Specialty Store,True,Professional,Winter,Discount on Selected Items
1000000162,2020-10-14 08:04:28,Ariel Stokes,"['Toothpaste', 'Hair Gel', 'Trash Bags', 'Rice', 'Tuna']",1,85.32,Cash,Dallas,Specialty Store,False,Young Adult,Winter,BOGO (Buy One Get One)
1000000171,2022-06-12 14:59:25,Kimberly Perry,"['Shaving Cream', 'Vacuum Cleaner', 'Broom', 'Toilet Paper', 'Cleaning Rags']",3,98.13,Mobile Payment,Los Angeles,Specialty Store,False,Young Adult,Summer,
1000000177,2020-06-20 11:39:26,Tyler Turner,"['Hand Sanitizer', 'Ice Cream', 'Dustpan', 'Trash Cans', 'Shaving Cream']",4,82.76,Debit Card,Chicago,Specialty Store,True,Senior Citizen,Summer,
1000000181,2021-10-25 09:35:01,John Savage,"['Toilet Paper', 'Spinach', 'Insect Repellent']",6,99.68,Mobile Payment,Houston,Specialty Store,False,Student,Winter,Discount on Selected Items
1000000201,2020-10-25 21:26:25,Ivan Cowan,['Extension Cords'],4,31.37,Debit Card,Chicago,Specialty Store,True,Homemaker,Fall,Discount on Selected Items
1000000202,2022-07-23 04:40:15,Hector Mcdonald,"['Lawn Mower', 'Hair Gel', 'Potatoes', 'Shrimp', 'Chicken']",2,5.08,Mobile Payment,Dallas,Specialty Store,True,Professional,Winter,
1000000203,2021-10-31 07:40:19,Christopher Ford,"['Pancake Mix', 'Ironing Board', 'Toilet Paper', 'Toothbrush', 'Toothpaste']",5,6.98,Mobile Payment,Dallas,Specialty Store,True,Homemaker,Spring,BOGO (Buy One Get One)
1000000214,2022-06-28 09:51:16,Tracy Conner,"['Dish Soap', 'Vinegar', 'Plant Fertilizer']",4,47.29,Debit Card,Miami,Specialty Store,False,Retiree,Fall,
1000000215,2020-02-10 00:22:01,Brian Reed,"['Mop', 'Shampoo', 'Power Strips']",2,77.51,Mobile Payment,Miami,Specialty Store,True,Teenager,Summer,Discount on Selected Items
1000000220,2020-02-16 18:39:23,Jorge Walker,"['Tea', 'Bath Towels']",3,50.37,Debit Card,San Francisco,Specialty Store,False,Middle-Aged,Summer,BOGO (Buy One Get One)
1000000233,2022-02-10 03:48:27,Henry Anderson,"['Insect Repellent', 'Vacuum Cleaner', 'Lawn Mower']",6,49.37,Cash,New York,Specialty Store,False,Teenager,Winter,
1000000236,2020-12-25 12:23:57,Samantha Miller,['Mop'],5,86.81,Cash,Seattle,Specialty Store,True,Teenager,Fall,BOGO (Buy One Get One)
1000000238,2022-08-27 07:10:56,Derek Beasley,"['Lawn Mower', 'Sponges', 'Air Freshener', 'Lawn Mower', 'Salmon']",8,27.12,Cash,San Francisco,Specialty Store,False,Professional,Spring,
1000000241,2022-12-12 14:59:59,Angela Williams,"['Pasta', 'Honey', 'Extension Cords']",6,86.87,Mobile Payment,Seattle,Specialty Store,True,Student,Fall,
1000000257,2023-10-26 07:02:30,Lauren Becker,"['Light Bulbs', 'Potatoes', 'Toothpaste', 'Pasta']",6,83.5,Credit Card,Houston,Specialty Store,True,Young Adult,Spring,
1000000259,2023-03-13 14:00:22,Paul Ortiz,['Mustard'],10,6.42,Cash,Los Angeles,Specialty Store,True,Young Adult,Fall,
1000000261,2021-11-05 00:22:25,Victoria Hayes,['Bath Towels'],4,32.0,Cash,Boston,Specialty Store,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000262,2020-10-09 01:55:45,Kevin Gentry,['Dish Soap'],9,72.18,Cash,Houston,Specialty Store,True,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000264,2023-06-11 18:51:59,Richard Campbell,"['Diapers', 'Beef', 'Ice Cream', 'Orange']",6,32.44,Debit Card,New York,Specialty Store,False,Middle-Aged,Spring,Discount on Selected Items
1000000265,2022-03-12 03:04:00,Robert Blackburn,"['Orange', 'Hair Gel', 'Onions', 'Carrots']",3,89.52,Cash,Chicago,Specialty Store,True,Student,Fall,Discount on Selected Items
1000000267,2020-10-06 08:51:11,Michele Davis,"['Cereal', 'Banana', 'Onions']",2,98.89,Debit Card,Los Angeles,Specialty Store,True,Senior Citizen,Spring,BOGO (Buy One Get One)
1000000268,2021-01-29 00:12:00,Andrea Fernandez,"['Honey', 'Coffee', 'Pancake Mix', 'Ironing Board']",6,18.22,Credit Card,Los Angeles,Specialty Store,True,Professional,Winter,BOGO (Buy One Get One)
1000000284,2022-08-14 00:43:59,Kelsey Lewis,"['Iron', 'Yogurt', 'Extension Cords']",6,15.52,Mobile Payment,Chicago,Specialty Store,False,Student,Spring,
1000000290,2020-08-21 03:00:47,Erik Perez,"['Dish Soap', 'Vinegar']",5,39.52,Mobile Payment,Atlanta,Specialty Store,True,Young Adult,Summer,BOGO (Buy One Get One)
1000000297,2021-02-19 16:01:19,Tina Day,"['Coffee', 'Extension Cords']",10,65.0,Mobile Payment,Atlanta,Specialty Store,False,Senior Citizen,Spring,
1000000307,2020-10-03 21:06:55,John Taylor,"['Tissues', 'Dishware', 'Pickles', 'Garden Hose', 'Salmon']",1,99.1,Cash,Atlanta,Specialty Store,False,Homemaker,Summer,
1000000319,2020-10-05 17:55:29,Rachael Ryan,['Carrots'],4,69.33,Mobile Payment,Los Angeles,Specialty Store,False,Teenager,Fall,BOGO (Buy One Get One)
1000000324,2023-01-20 07:36:44,Brenda Johnson,"['Broom', 'Cheese', 'Soda']",2,53.89,Debit Card,Dallas,Specialty Store,True,Young Adult,Winter,
1000000333,2020-07-17 00:00:01,Matthew Campbell,"['Dishware', 'Salmon', 'Power Strips']",9,84.69,Mobile Payment,Chicago,Specialty Store,False,Middle-Aged,Winter,
1000000334,2021-03-09 12:28:21,Jessica Jones,"['BBQ Sauce', 'Rice', 'Ironing Board']",9,63.74,Credit Card,Seattle,Specialty Store,True,Retiree,Summer,
1000000339,2021-12-16 16:55:15,Amy Sanford,"['Yogurt', 'Jam', 'Air Freshener', 'Trash Cans']",4,51.89,Debit Card,San Francisco,Specialty Store,False,Retiree,Summer,Discount on Selected Items
1000000343,2020-11-15 19:14:33,Kristen Rogers,"['Laundry Detergent', 'Water', 'Soap', 'Spinach']",1,70.4,Mobile Payment,New York,Specialty Store,True,Middle-Aged,Spring,BOGO (Buy One Get One)
1000000346,2021-01-23 21:25:00,Matthew Perez,"['Broom', 'Orange', 'Hand Sanitizer', 'Trash Cans', 'Dish Soap']",8,63.59,Credit Card,Atlanta,Specialty Store,False,Professional,Spring,Discount on Selected Items
1000000353,2022-05-19 04:38:48,Richard Garza,"['Garden Hose', 'Dustpan', 'Ironing Board']",8,88.83,Credit Card,Miami,Specialty Store,False,Retiree,Spring,Discount on Selected Items
1000000361,2020-09-02 00:21:19,Karen Jordan MD,"['Dishware', 'Beef', 'Pancake Mix', 'Apple']",10,31.53,Cash,Houston,Specialty Store,False,Retiree,Summer,
1000000368,2020-05-10 23:38:59,Melissa Sanchez,"['Air Freshener', 'Salmon', 'Laundry Detergent', 'Carrots', 'Diapers']",3,76.41,Debit Card,Atlanta,Specialty Store,True,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000379,2021-08-11 07:00:06,Lisa Collins,"['Dish Soap', 'Syrup']",5,74.97,Credit Card,Houston,Specialty Store,True,Young Adult,Winter,BOGO (Buy One Get One)
1000000383,2023-01-09 05:17:19,Caroline Sanders,"['Cereal', 'Dish Soap', 'Beef', 'Toilet Paper', 'Cheese']",6,21.22,Cash,New York,Specialty Store,True,Professional,Winter,Discount on Selected Items
1000000387,2023-09-24 21:11:04,Maria Mason,['Sponges'],6,37.84,Mobile Payment,San Francisco,Specialty Store,False,Teenager,Winter,Discount on Selected Items
1000000388,2022-11-09 23:46:51,Thomas Baldwin,['Chicken'],5,53.13,Cash,Seattle,Specialty Store,False,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000389,2022-05-28 05:21:05,Jennifer Peterson,"['Chips', 'Feminine Hygiene Products', 'Broom', 'Power Strips', 'Mop']",5,51.53,Credit Card,Los Angeles,Specialty Store,False,Student,Fall,
1000000394,2022-08-21 06:42:28,Ryan Parrish,"['Honey', 'Bath Towels']",10,40.81,Cash,Atlanta,Specialty Store,True,Teenager,Fall,BOGO (Buy One Get One)
1000000396,2022-08-25 13:59:13,Martha Smith,"['Jam', 'Beef', 'Ironing Board', 'Milk', 'Cleaning Rags']",3,25.72,Cash,Houston,Specialty Store,False,Young Adult,Winter,BOGO (Buy One Get One)
1000000398,2022-07-06 23:07:08,Julia Morgan,"['Paper Towels', 'Onions', 'Jam', 'Toothpaste', 'Toothpaste']",2,76.69,Mobile Payment,Chicago,Specialty Store,True,Senior Citizen,Spring,Discount on Selected Items
1000000403,2022-08-04 05:30:43,Hailey Harris,"['Baby Wipes', 'Toothpaste']",7,9.48,Cash,Chicago,Specialty Store,True,Teenager,Spring,
1000000405,2022-12-13 05:05:55,Diana Price,['Ketchup'],6,77.92,Credit Card,Seattle,Specialty Store,True,Student,Spring,BOGO (Buy One Get One)
1000000410,2022-08-16 06:11:13,John Faulkner,"['Cheese', 'Plant Fertilizer']",4,10.41,Mobile Payment,Dallas,Specialty Store,False,Senior Citizen,Spring,Discount on Selected Items
1000000425,2022-12-30 02:05:07,Sandra Carson,"['Mayonnaise', 'Milk', 'Beef', 'Diapers', 'Laundry Detergent']",10,85.38,Credit Card,San Francisco,Specialty Store,True,Young Adult,Summer,Discount on Selected Items
1000000427,2021-08-12 07:32:14,Mark Miller,"['Laundry Detergent', 'Bread', 'Rice', 'Toothpaste']",6,86.37,Debit Card,Seattle,Specialty Store,False,Teenager,Winter,
1000000437,2020-07-31 08:32:19,Justin Willis,"['Coffee', 'Milk', 'Jam']",6,41.28,Mobile Payment,Boston,Specialty Store,False,Senior Citizen,Spring,Discount on Selected Items
1000000440,2022-05-09 01:36:49,Cristina Hammond,"['Shaving Cream', 'Syrup', 'Tissues']",6,58.73,Debit Card,Houston,Specialty Store,True,Retiree,Spring,BOGO (Buy One Get One)
1000000444,2023-10-10 19:29:08,Megan Robbins,"['Banana', 'Ice Cream']",6,65.58,Cash,Miami,Specialty Store,True,Homemaker,Winter,Discount on Selected Items
1000000451,2023-06-28 07:04:40,John Mann,"['Beef', 'Ironing Board', 'Soap', 'Eggs', 'Tissues']",2,26.95,Cash,Atlanta,Specialty Store,True,Student,Spring,
1000000457,2020-09-07 23:56:45,Samantha Cortez,"['Mop', 'Onions', 'Carrots']",9,33.96,Debit Card,Houston,Specialty Store,True,Young Adult,Spring,BOGO (Buy One Get One)
1000000458,2022-04-30 03:38:05,Melanie Wu,"['Spinach', 'Mop', 'Paper Towels', 'Shower Gel']",6,41.91,Cash,Atlanta,Specialty Store,True,Homemaker,Spring,
1000000463,2022-08-18 17:45:15,Jeanne Anderson,"['Hand Sanitizer', 'Diapers', 'Butter', 'Laundry Detergent', 'Soda']",8,69.36,Debit Card,Chicago,Specialty Store,False,Homemaker,Summer,Discount on Selected Items
1000000479,2022-01-23 09:14:12,Brian Cruz,"['Paper Towels', 'Honey', 'Shrimp']",6,63.9,Cash,Los Angeles,Specialty Store,False,Young Adult,Winter,Discount on Selected Items
1000000482,2021-02-06 13:54:40,Leslie Thomas,['Water'],3,98.13,Mobile Payment,Houston,Specialty Store,False,Homemaker,Fall,Discount on Selected Items
1000000485,2021-02-03 23:44:21,Aaron Hodge,"['Pickles', 'Mop', 'Tissues', 'Paper Towels', 'Tomatoes']",6,96.16,Credit Card,Miami,Specialty Store,True,Professional,Winter,BOGO (Buy One Get One)
1000000496,2021-02-10 06:12:24,Madison Salinas,"['Mustard', 'Dish Soap']",4,42.06,Debit Card,Atlanta,Specialty Store,False,Student,Spring,
1000000499,2021-03-31 16:47:18,Lisa Smith,"['Cheese', 'Banana']",3,30.09,Cash,Atlanta,Specialty Store,True,Student,Winter,
1000000500,2020-06-28 01:26:09,Joseph Carroll,"['Ketchup', 'Water']",3,41.18,Mobile Payment,Dallas,Specialty Store,False,Young Adult,Winter,BOGO (Buy One Get One)
1000000514,2020-05-27 01:07:47,Steven Avery,"['Jam', 'Carrots']",9,8.86,Cash,New York,Specialty Store,False,Student,Spring,Discount on Selected Items
1000000521,2023-03-19 19:43:49,Tyler Anderson,"['Ironing Board', 'Olive Oil', 'Tomatoes']",8,29.32,Cash,Atlanta,Specialty Store,True,Middle-Aged,Spring,
1000000528,2023-10-08 03:59:32,Jesse Powell,"['Shampoo', 'Plant Fertilizer', 'Olive Oil', 'Jam', 'Apple']",4,61.2,Mobile Payment,Dallas,Specialty Store,False,Homemaker,Fall,Discount on Selected Items
1000000530,2022-12-28 05:07:57,Lydia Skinner,"['Toothpaste', 'Power Strips']",6,32.94,Cash,New York,Specialty Store,False,Young Adult,Fall,Discount on Selected Items
1000000532,2021-06-09 05:22:14,Mr. Alexander Johnson MD,"['Iron', 'Onions', 'Cleaning Rags']",6,26.0,Mobile Payment,Houston,Specialty Store,True,Professional,Winter,Discount on Selected Items
1000000539,2021-10-05 19:13:25,Anthony Morgan,['Bath Towels'],1,14.88,Debit Card,Dallas,Specialty Store,False,Professional,Winter,BOGO (Buy One Get One)
1000000542,2023-01-30 05:13:36,Steve Clark,"['Syrup', 'Chips']",8,39.79,Credit Card,San Francisco,Specialty Store,False,Young Adult,Winter,
1000000546,2022-05-18 18:07:24,Jordan Smith,"['Deodorant', 'Shrimp', 'Soda', 'Chips']",6,45.46,Cash,Houston,Specialty Store,True,Middle-Aged,Spring,BOGO (Buy One Get One)
1000000549,2023-05-01 02:08:04,Sara Murphy,"['Extension Cords', 'BBQ Sauce', 'Hand Sanitizer', 'Paper Towels']",4,59.49,Debit Card,Boston,Specialty Store,False,Middle-Aged,Winter,
1000000553,2023-04-17 21:39:49,Debbie Hamilton,"['Tomatoes', 'Beef', 'Jam', 'Shaving Cream', 'Water']",4,15.24,Debit Card,Chicago,Specialty Store,False,Homemaker,Winter,Discount on Selected Items
1000000556,2022-03-17 20:10:16,Joshua Obrien,"['Tuna', 'Toilet Paper', 'Deodorant', 'Mayonnaise']",9,59.41,Mobile Payment,New York,Specialty Store,False,Homemaker,Summer,Discount on Selected Items
1000000558,2022-08-25 11:10:12,Brandon Robinson,"['Light Bulbs', 'Orange', 'Coffee', 'Extension Cords']",7,65.2,Debit Card,Chicago,Specialty Store,False,Professional,Spring,Discount on Selected Items
