Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000001,2020-07-06 07:45:16,Emily Fitzgerald,"['Tuna', 'Bread', 'Tissues', 'Trash Bags']",5,13.88,Debit Card,Houston,Supermarket,False,Professional,Fall,BOGO (Buy One Get One)
1000000005,2021-04-26 20:45:13,Elizabeth Cook,"['Shower Gel', 'Baby Wipes', 'Banana', 'Paper Towels']",10,30.19,Debit Card,Atlanta,Supermarket,True,Teenager,Summer,
1000000024,2020-02-21 07:38:04,Larry Stephens,"['Dishware', 'Plant Fertilizer', 'Hair Gel', 'Apple', 'Toothpaste']",5,28.31,Debit Card,Miami,Supermarket,False,Middle-Aged,Spring,
1000000025,2023-02-26 11:12:54,Jonathan Cross,"['Extension Cords', 'Orange']",10,71.56,Credit Card,New York,Supermarket,False,Professional,Summer,Discount on Selected Items
1000000030,2022-07-16 04:15:22,Kimberly Carlson,"['Trash Bags', 'Cheese', 'Toilet Paper', 'Insect Repellent']",4,9.33,Mobile Payment,Los Angeles,Supermarket,True,Student,Fall,
1000000034,2023-07-15 17:00:31,Ryan King,"['Pasta', 'Ice Cream', 'Pancake Mix', 'Vinegar', 'Onions']",6,18.49,Mobile Payment,Los Angeles,Supermarket,False,Senior Citizen,Summer,Discount on Selected Items
1000000038,2022-03-19 23:44:33,Randy Beck,['Pickles'],5,86.11,Cash,New York,Supermarket,False,Professional,Spring,
1000000039,2023-04-05 10:26:00,Joanne Wood,"['Dustpan', 'Shower Gel', 'Beef', 'Broom']",10,45.07,Debit Card,Boston,Supermarket,False,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000041,2023-06-27 16:06:33,Makayla Moore,"['Laundry Detergent', 'Extension Cords']",6,19.96,Cash,Houston,Supermarket,False,Student,Spring,
1000000047,2021-11-17 04:54:54,Tina Combs,"['Toothpaste', 'Toothbrush']",8,73.28,Credit Card,Chicago,Supermarket,True,Young Adult,Fall,Discount on Selected Items
1000000065,2020-10-18 10:58:44,Marissa Scott,['Apple'],10,28.37,Cash,San Francisco,Supermarket,True,Teenager,Spring,BOGO (Buy One Get One)
1000000067,2021-12-22 10:23:48,Krista Stewart,"['Ketchup', 'Salmon', 'Banana', 'Olive Oil', 'Eggs']",2,66.84,Credit Card,Miami,Supermarket,False,Retiree,Fall,BOGO (Buy One Get One)
1000000068,2021-08-05 23:47:18,Mike Taylor,['Shaving Cream'],7,39.3,Credit Card,Atlanta,Supermarket,False,Student,Summer,Discount on Selected Items
1000000069,2023-06-23 20:34:16,Heather Johnson,"['Trash Cans', 'Diapers']",1,63.22,Credit Card,Chicago,Supermarket,False,Homemaker,Winter,
1000000072,2020-07-30 15:48:21,Gabriela Bryan,"['Paper Towels', 'Pickles', 'Eggs', 'Shower Gel', 'Pasta']",2,12.6,Mobile Payment,New York,Supermarket,True,Senior Citizen,Summer,
1000000073,2023-05-07 18:54:48,Janet Hogan MD,"['Air Freshener', 'Ironing Board', 'Yogurt']",2,55.59,Cash,Dallas,Supermarket,True,Professional,Spring,BOGO (Buy One Get One)
1000000077,2022-12-10 20:05:10,Amy Larsen,"['Sponges', 'Cheese']",3,89.95,Credit Card,Dallas,Supermarket,False,Retiree,Winter,Discount on Selected Items
1000000081,2023-03-23 07:10:01,Steven Valdez,"['Dishware', 'Dish Soap', 'Banana', 'Shrimp', 'Shower Gel']",10,93.3,Cash,New York,Supermarket,False,Homemaker,Spring,Discount on Selected Items
1000000084,2021-05-28 02:23:02,Gregory Stevens,"['Light Bulbs', 'Pancake Mix', 'Beef']",5,11.03,Credit Card,Houston,Supermarket,True,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000090,2020-12-31 01:16:03,Grace Duran,"['Shaving Cream', 'Iron', 'Toothpaste', 'Soda']",8,93.0,Mobile Payment,Atlanta,Supermarket,True,Teenager,Winter,Discount on Selected Items
1000000092,2021-08-05 19:04:18,Amber Wise,"['Dustpan', 'Iron']",7,96.79,Cash,Atlanta,Supermarket,False,Professional,Spring,
1000000094,2023-01-16 02:42:54,Kayla Navarro,"['Toothbrush', 'Garden Hose']",7,61.08,Cash,Miami,Supermarket,False,Retiree,Winter,Discount on Selected Items
1000000099,2023-06-29 03:19:16,Eduardo Brown,"['Shaving Cream', 'Bread']",8,7.08,Mobile Payment,Chicago,Supermarket,False,Student,Summer,Discount on Selected Items
1000000100,2022-03-29 05:47:22,Kristen Owens,"['Pickles', 'Chips']",3,83.53,Mobile Payment,Miami,Supermarket,False,Teenager,Winter,
1000000112,2022-09-14 03:34:37,Steven Parker,"['Shower Gel', 'Cereal Bars', 'Cheese', 'Cereal Bars', 'Paper Towels']",3,71.9,Credit Card,Dallas,Supermarket,False,Middle-Aged,Summer,BOGO (Buy One Get One)
1000000125,2022-01-04 04:37:29,Rhonda Harris,"['Cereal Bars', 'Canned Soup', 'Toothpaste']",6,61.33,Cash,Chicago,Supermarket,False,Homemaker,Fall,
1000000136,2020-12-18 23:17:28,Rebecca Graham,"['Butter', 'Shower Gel', 'Bread']",8,54.17,Mobile Payment,Dallas,Supermarket,True,Student,Summer,
1000000139,2023-05-24 21:38:10,Daniel Thomas,"['Coffee', 'Soda', 'Pasta', 'Toothbrush', 'Canned Soup']",2,86.66,Debit Card,New York,Supermarket,False,Teenager,Spring,
1000000141,2022-03-28 00:26:08,James Ponce,"['Chicken', 'Olive Oil', 'Chicken']",1,72.3,Cash,New York,Supermarket,True,Teenager,Summer,Discount on Selected Items
1000000145,2021-05-16 18:22:12,Angelica Barker,"['Laundry Detergent', 'Ironing Board', 'Garden Hose', 'BBQ Sauce', 'Soap']",9,91.26,Credit Card,Miami,Supermarket,False,Young Adult,Winter,Discount on Selected Items
1000000156,2021-04-17 02:38:46,Angelica Savage,['Soap'],5,61.24,Mobile Payment,Miami,Supermarket,False,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000161,2021-10-11 16:31:31,Justin Johnson,['Shrimp'],9,46.67,Credit Card,New York,Supermarket,False,Teenager,Spring,BOGO (Buy One Get One)
1000000173,2020-04-20 14:04:29,Diana Odonnell MD,"['Lawn Mower', 'Chips', 'Onions', 'Razors']",7,82.84,Mobile Payment,Houston,Supermarket,False,Senior Citizen,Winter,Discount on Selected Items
1000000179,2020-09-20 21:40:56,Adrienne Owens,['Peanut Butter'],7,25.81,Mobile Payment,Boston,Supermarket,True,Homemaker,Winter,
1000000196,2021-07-19 08:16:01,Barbara Gordon,['Water'],3,75.73,Credit Card,Atlanta,Supermarket,True,Teenager,Summer,BOGO (Buy One Get One)
1000000197,2020-06-30 23:34:18,Danielle Jones,"['Toilet Paper', 'Insect Repellent']",3,92.84,Debit Card,Los Angeles,Supermarket,True,Young Adult,Spring,Discount on Selected Items
1000000204,2021-07-05 01:24:05,Evelyn Willis,"['Deodorant', 'Mustard', 'Mustard', 'Diapers', 'Soap']",4,66.55,Mobile Payment,Boston,Supermarket,False,Senior Citizen,Summer,
1000000206,2021-09-19 22:40:33,Rebecca Patterson,"['Pasta', 'Honey']",5,61.33,Mobile Payment,Chicago,Supermarket,False,Middle-Aged,Fall,
1000000207,2021-11-06 09:38:26,Michael Mckinney,"['Chips', 'Eggs', 'Honey']",4,37.64,Credit Card,Seattle,Supermarket,False,Senior Citizen,Winter,Discount on Selected Items
1000000213,2022-11-09 08:33:14,Brian Jones,"['Shower Gel', 'Rice', 'Deodorant']",8,46.99,Debit Card,Houston,Supermarket,True,Teenager,Winter,
1000000216,2021-03-31 21:02:23,Nancy Thompson,['Hair Gel'],1,38.85,Cash,Miami,Supermarket,True,Teenager,Summer,
1000000218,2021-05-20 18:57:00,Cynthia White,['Peanut Butter'],9,95.95,Credit Card,New York,Supermarket,False,Retiree,Fall,BOGO (Buy One Get One)
1000000226,2021-08-28 23:48:26,John Morrow,['Syrup'],4,33.25,Cash,Miami,Supermarket,True,Professional,Summer,BOGO (Buy One Get One)
1000000227,2020-03-07 15:58:42,Frank Barnes,"['Chips', 'Pickles', 'Milk']",5,83.05,Debit Card,Houston,Supermarket,True,Homemaker,Fall,
1000000232,2020-09-27 03:22:34,Maria Ibarra,"['Tuna', 'Hand Sanitizer']",8,34.87,Credit Card,Los Angeles,Supermarket,False,Young Adult,Fall,BOGO (Buy One Get One)
1000000234,2020-03-01 15:23:39,Laura Bennett,"['Cheese', 'Extension Cords', 'Shaving Cream', 'Shrimp']",4,68.46,Mobile Payment,Seattle,Supermarket,True,Retiree,Winter,Discount on Selected Items
1000000235,2022-01-29 11:02:15,Dylan Meyer,"['Coffee', 'Pancake Mix', 'Dish Soap', 'Extension Cords']",5,78.9,Debit Card,Boston,Supermarket,False,Young Adult,Fall,Discount on Selected Items
1000000251,2023-03-12 21:56:03,Bradley Smith,"['Deodorant', 'Cereal', 'Garden Hose', 'Onions']",3,46.53,Mobile Payment,Chicago,Supermarket,True,Student,Summer,BOGO (Buy One Get One)
1000000252,2020-01-30 15:11:14,William Wright,"['Ketchup', 'Cleaning Spray', 'Sponges']",10,20.88,Cash,New York,Supermarket,True,Middle-Aged,Winter,Discount on Selected Items
1000000254,2021-03-05 21:04:09,Johnny Powell,"['Razors', 'Chicken']",4,54.28,Credit Card,Atlanta,Supermarket,False,Young Adult,Summer,Discount on Selected Items
1000000256,2023-01-31 21:55:45,Lindsey Mathis,"['Air Freshener', 'Soda', 'Cereal Bars', 'Potatoes']",10,34.15,Debit Card,Chicago,Supermarket,False,Young Adult,Summer,
1000000275,2023-05-28 23:41:59,Timothy Dodson,['Mop'],2,92.3,Cash,Dallas,Supermarket,True,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000278,2021-04-05 11:59:09,Jeremy Tate,"['Tissues', 'Broom', 'Apple', 'Baby Wipes']",10,57.21,Credit Card,Seattle,Supermarket,False,Middle-Aged,Spring,BOGO (Buy One Get One)
1000000282,2021-04-18 12:58:36,Jesse Williams,"['Banana', 'Deodorant', 'Diapers', 'Salmon', 'Shaving Cream']",8,17.4,Credit Card,Boston,Supermarket,True,Teenager,Summer,
1000000287,2020-01-07 03:30:41,Julie Case,['Bath Towels'],4,32.58,Mobile Payment,New York,Supermarket,False,Homemaker,Spring,BOGO (Buy One Get One)
1000000288,2021-02-14 00:21:09,Jacob Sellers,['Sponges'],4,20.84,Cash,Dallas,Supermarket,False,Middle-Aged,Fall,Discount on Selected Items
1000000289,2021-12-16 05:39:21,Sheila Marsh,['Banana'],6,66.11,Cash,New York,Supermarket,False,Senior Citizen,Fall,BOGO (Buy One Get One)
1000000292,2021-07-28 19:27:12,Michael Hopkins,"['Olive Oil', 'Peanut Butter']",1,79.34,Cash,Houston,Supermarket,False,Teenager,Spring,Discount on Selected Items
1000000293,2023-06-25 22:51:27,Melissa Gates,['Chips'],7,25.14,Cash,Dallas,Supermarket,True,Senior Citizen,Winter,
1000000295,2022-04-16 15:44:37,Anna Rogers,"['Banana', 'Garden Hose']",6,68.62,Debit Card,Boston,Supermarket,False,Student,Fall,
1000000300,2021-10-26 23:08:15,Ashley Potts,"['Honey', 'Jam', 'Cereal Bars', 'Dish Soap', 'Pickles']",2,31.11,Debit Card,Chicago,Supermarket,False,Retiree,Summer,Discount on Selected Items
1000000320,2021-08-07 20:49:48,Jennifer Jackson,"['Mayonnaise', 'Trash Cans', 'Cereal Bars', 'Apple']",7,48.71,Cash,Chicago,Supermarket,True,Homemaker,Fall,BOGO (Buy One Get One)
1000000325,2020-09-17 02:22:30,Pamela Hamilton,"['Shrimp', 'Milk', 'Diapers']",1,47.83,Cash,Atlanta,Supermarket,True,Student,Fall,
1000000345,2022-11-21 00:13:34,Dr. Brandon Smith II,"['Butter', 'Ice Cream']",7,15.3,Mobile Payment,Los Angeles,Supermarket,False,Young Adult,Winter,Discount on Selected Items
1000000348,2023-05-19 00:15:11,Sarah King,"['Cereal Bars', 'Apple', 'Cereal Bars', 'Onions']",6,57.03,Credit Card,Miami,Supermarket,False,Homemaker,Winter,
1000000350,2020-04-08 04:17:36,Renee Smith,"['Tea', 'Potatoes', 'Rice', 'Razors', 'Beef']",3,8.91,Credit Card,New York,Supermarket,True,Senior Citizen,Summer,
1000000355,2023-06-19 21:40:48,Tiffany Walker,"['Razors', 'Trash Bags', 'Onions', 'Mustard']",4,92.01,Credit Card,Miami,Supermarket,False,Professional,Winter,Discount on Selected Items
1000000356,2021-12-05 12:55:40,Charles Booker,"['Canned Soup', 'Mop', 'Onions']",2,88.46,Cash,Houston,Supermarket,True,Professional,Summer,
1000000358,2022-11-26 02:54:56,Tiffany Johnson,"['Hand Sanitizer', 'Ironing Board']",3,65.97,Cash,Seattle,Supermarket,True,Retiree,Summer,Discount on Selected Items
1000000364,2020-01-30 01:17:47,Pamela Martin,"['Carrots', 'Baby Wipes', 'Vacuum Cleaner', 'Soda', 'Rice']",8,51.22,Debit Card,Miami,Supermarket,True,Retiree,Summer,BOGO (Buy One Get One)
1000000376,2023-03-06 22:52:00,Steven Schneider,['Dustpan'],5,78.8,Mobile Payment,New York,Supermarket,False,Senior Citizen,Spring,Discount on Selected Items
1000000377,2021-07-02 08:32:14,Michael Owen,"['Hair Gel', 'Eggs', 'Ironing Board', 'Chicken']",6,98.31,Credit Card,Miami,Supermarket,False,Homemaker,Summer,Discount on Selected Items
1000000378,2022-01-06 18:09:51,Scott Bailey,['Extension Cords'],2,68.03,Mobile Payment,Houston,Supermarket,True,Professional,Spring,BOGO (Buy One Get One)
1000000380,2023-05-24 15:15:41,Holly Gilbert,"['Toothpaste', 'Rice', 'Hand Sanitizer']",3,40.82,Cash,Dallas,Supermarket,True,Student,Summer,Discount on Selected Items
1000000382,2020-12-27 11:08:05,Jose Garcia,"['Hand Sanitizer', 'Rice']",5,92.22,Mobile Payment,New York,Supermarket,True,Middle-Aged,Summer,Discount on Selected Items
1000000399,2020-10-26 01:33:27,Jaime Smith,"['Dishware', 'Butter', 'Coffee', 'Hair Gel']",7,56.33,Debit Card,New York,Supermarket,False,Homemaker,Spring,Discount on Selected Items
1000000406,2021-04-04 20:46:29,Malik Watts,"['Apple', 'Bath Towels', 'Jam', 'Toilet Paper', 'Paper Towels']",6,7.58,Cash,New York,Supermarket,True,Professional,Fall,
1000000411,2023-10-07 06:48:57,Paul Hendrix,"['Canned Soup', 'Soda']",8,88.13,Debit Card,Seattle,Supermarket,False,Student,Summer,
1000000421,2022-04-15 10:31:24,Carrie Lowe,['Laundry Detergent'],5,38.59,Debit Card,New York,Supermarket,False,Retiree,Fall,
1000000428,2021-03-23 16:37:49,John Moore,"['Deodorant', 'Toothpaste', 'Iron', 'Potatoes', 'Power Strips']",3,9.41,Mobile Payment,Boston,Supermarket,False,Homemaker,Winter,BOGO (Buy One Get One)
1000000429,2023-09-07 19:37:20,Yolanda Walker,"['Ketchup', 'Diapers', 'Cleaning Rags', 'Feminine Hygiene Products', 'Bath Towels']",10,17.34,Debit Card,Miami,Supermarket,False,Professional,Fall,BOGO (Buy One Get One)
1000000436,2022-01-21 21:52:27,Samantha Ford,"['Rice', 'Soap']",4,78.49,Mobile Payment,New York,Supermarket,False,Middle-Aged,Summer,
1000000438,2023-10-14 14:59:32,Krystal Kramer,"['Shrimp', 'Ketchup', 'Jam', 'Jam', 'Soda']",7,35.96,Debit Card,Houston,Supermarket,False,Teenager,Summer,BOGO (Buy One Get One)
1000000443,2020-04-25 23:06:01,Diane Marquez,"['Soda', 'Baby Wipes']",4,35.21,Debit Card,Dallas,Supermarket,True,Professional,Summer,
