Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000003,2022-01-10 05:39:02,Kimberly Lin,['BBQ Sauce'],9,83.86,Mobile Payment,Seattle,Warehouse Club,True,Senior Citizen,Summer,Discount on Selected Items
1000000004,2021-10-13 07:28:47,Cathy Hernandez,"['Hand Sanitizer', 'Bread', 'Extension Cords', 'Ice Cream', 'Hand Sanitizer']",4,30.55,Debit Card,Houston,Warehouse Club,False,Senior Citizen,Spring,
1000000006,2023-10-07 23:36:53,Kara Bradley,"['Cereal', 'Tuna']",3,5.57,Mobile Payment,Boston,Warehouse Club,True,Student,Winter,Discount on Selected Items
1000000007,2022-03-30 00:46:49,Carla Hernandez,"['Iron', 'Extension Cords', 'Eggs', 'Iron', 'Tuna']",1,7.15,Debit Card,Dallas,Warehouse Club,False,Student,Fall,BOGO (Buy One Get One)
1000000008,2020-03-05 23:47:29,Christopher Wang,"['Banana', 'Pickles']",2,20.04,Cash,Chicago,Warehouse Club,False,Teenager,Winter,Discount on Selected Items
1000000014,2023-02-26 11:38:21,Christopher Barnett,"['Lawn Mower', 'Tea']",8,15.67,Credit Card,New York,Warehouse Club,False,Senior Citizen,Fall,
1000000019,2021-01-01 19:48:07,Adam Foster,['Eggs'],1,60.29,Debit Card,San Francisco,Warehouse Club,False,Student,Summer,
1000000026,2020-11-22 12:40:00,Michael Powers,"['Pasta', 'Soda', 'Chips', 'Apple', 'Sponges']",6,75.45,Mobile Payment,New York,Warehouse Club,True,Senior Citizen,Fall,Discount on Selected Items
1000000031,2022-07-14 01:38:22,Joshua Butler,['Vacuum Cleaner'],6,37.15,Mobile Payment,Dallas,Warehouse Club,True,Retiree,Summer,
1000000046,2022-01-16 03:46:49,Michelle Foster,"['Power Strips', 'Soda']",5,44.08,Debit Card,Boston,Warehouse Club,True,Teenager,Summer,BOGO (Buy One Get One)
1000000051,2022-07-13 17:14:13,Tonya Moreno,"['Soap', 'Apple', 'Butter', 'Pasta']",7,45.6,Cash,Houston,Warehouse Club,False,Homemaker,Fall,
1000000070,2021-01-16 13:15:58,Tiffany Ramirez,['Carrots'],2,38.61,Debit Card,Houston,Warehouse Club,False,Homemaker,Spring,BOGO (Buy One Get One)
1000000074,2020-12-08 05:48:16,David Burton,"['Cereal', 'Broom']",8,39.73,Cash,Los Angeles,Warehouse Club,False,Middle-Aged,Fall,BOGO (Buy One Get One)
